# Video: P02-20240211-100250
# Narrations: 93
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240211-100250-1 | 2.78s | open the left side curtain with the left hand
P02-20240211-100250-2 | 4.35s | open the right side curtain with the right hand
P02-20240211-100250-3 | 6.28s | Grab hold of the blind cord with the left hand and work out which one will open the blinds by rotating them.
P02-20240211-100250-4 | 7.18s | pull down on the blind cord to rotate and open the blinds
P02-20240211-100250-5 | 8.30s | Grab hold of the other blind cord to pull across the blinds, fully opening them.
P02-20240211-100250-6 | 16.42s | Grab hold of both blind cords, and then find the blind cord which will rotate the blinds.
P02-20240211-100250-7 | 19.88s | pull the blind cord which rotates the blinds so that they are open.
P02-20240211-100250-8 | 20.76s | Move the drawer protectors out of the way that are on the windowsill so that the blinds can rotate fully.
P02-20240211-100250-9 | 24.93s | Grab hold of the vacuum cleaner and push down so that it's into the floor mode.
P02-20240211-100250-10 | 26.99s | Turn on the vacuum cleaner with the left hand.
P02-20240211-100250-11 | 28.61s | Grab hold of the cord of the vacuum cleaner so that it stays out the way whilst cleaning.
P02-20240211-100250-12 | 29.97s | clean the carpet using the vacuum cleaner holding the vacuum cleaner in the right hand and pushing it across the carpet
P02-20240211-100250-13 | 47.82s | adjust the position of the mat near the back door using the left hand so that it can be vacuumed easily
P02-20240211-100250-14 | 48.96s | lift up the vacuum cleaner to place it onto the mat near the back door
P02-20240211-100250-15 | 49.89s | Clean the mat near the back door using the vacuum cleaner in the right hand.
P02-20240211-100250-16 | 53.51s | clean the carpet using the vacuum cleaner in the right hand
P02-20240211-100250-17 | 56.84s | Move the chair out of the way using the left hand so that the area underneath it can be vacuumed.
P02-20240211-100250-18 | 66.46s | Pull the curtain aside.
P02-20240211-100250-19 | 72.34s | Lift up and place the chair back under the table using the left hand.
P02-20240211-100250-20 | 74.57s | clean the carpet using the vacuum cleaner in the right hand
P02-20240211-100250-21 | 76.00s | Move the other chair next to the dining room table out of the way so that the area underneath can be cleaned, including underneath the dining room table.
P02-20240211-100250-22 | 80.80s | Grab hold of the cable of the vacuum cleaner to keep it out of the way.
P02-20240211-100250-23 | 95.20s | Pull the cable taut so that the other part of the kitchen
P02-20240211-100250-24 | 101.11s | Press the button to turn off the vacuum cleaner brush bar, as the vacuum cleaner is now going onto laminate flooring.
P02-20240211-100250-25 | 105.09s | clean the laminate flooring in the kitchen area using the vacuum cleaner in the right hand whilst holding the cable in the left hand pushing it across the laminate to pick up any dust and dirt
P02-20240211-100250-26 | 110.08s | move the shoes out of the way underneath the radiator so that the space underneath them can be cleaned
P02-20240211-100250-27 | 115.17s | place the shoes back down on the floor
P02-20240211-100250-28 | 116.99s | pick up the food bin with the left hand so that it can be cleaned beneath it
P02-20240211-100250-29 | 118.73s | Move the recycling bin out of the way so that the area underneath it can be cleaned.
P02-20240211-100250-30 | 120.64s | lift the bin out of the way so that the area underneath it can be cleaned
P02-20240211-100250-31 | 124.45s | cough into the right arm
P02-20240211-100250-32 | 125.82s | clean the kitchen laminate flooring using the vacuum cleaner in the right hand.
P02-20240211-100250-33 | 143.68s | grab the cable of the vacuum cleaner and pull it out of the way
P02-20240211-100250-34 | 157.32s | Turn on the brushbar by pressing the button on the vacuum cleaner using the left hand as the mats in the kitchen will be cleaned next.
P02-20240211-100250-35 | 159.46s | clean the mat in the center of the kitchen using the vacuum cleaner in the right hand pushing it across the mat to pick up any dust and dirt
P02-20240211-100250-36 | 179.96s | scratch some dirt that is not quite loose on the mat using the left hand
P02-20240211-100250-37 | 182.64s | Clean the mat using the vacuum cleaner in the right hand.
P02-20240211-100250-38 | 183.79s | Clean the mat using the vacuum cleaner in the right hand, pushing it across the mat.
P02-20240211-100250-39 | 184.19s | Grab hold and pull up the cord of the vacuum cleaner to move it out of the way.
P02-20240211-100250-40 | 187.27s | lift up the vacuum cleaner to put it on the mat near the garage door
P02-20240211-100250-41 | 187.92s | place the vacuum cleaner on the mat near the garage door
P02-20240211-100250-42 | 188.64s | clean the mat near the garage door using the vacuum cleaner in the right hand
P02-20240211-100250-43 | 196.36s | Press the button to turn off the brush bar on the vacuum cleaner so that the area underneath the mat can be cleaned next, as this is laminate.
P02-20240211-100250-44 | 197.74s | Lift up the mat near the garage door using the left hand.
P02-20240211-100250-45 | 198.55s | clean the area under the mat near the garage door using the vacuum cleaner in the right hand
