P01-20240204-095114-1 | open the fridge
P01-20240204-095114-2 | pick up the milk bottle from the lower shelf of the door of the fridge by holding it with the left hand from its handle
P01-20240204-095114-3 | close the fridge
P01-20240204-095114-4 | put down the bottle on the counter top next to the hob
P01-20240204-095114-5 | pick up a mug from the drainer
P01-20240204-095114-6 | lift the lower part of the coffee machine using the left hand
P01-20240204-095114-7 | put the mug under the nozzle of the coffee machine
P01-20240204-095114-8 | switch on the coffee machine by pressing the button at the top using the left hand with the index finger
P01-20240204-095114-9 | move the milk frother across the countertop bringing it closer to the counter edge using the left hand by sliding it across the surface of the countertop
P01-20240204-095114-10 | open the cardboard box containing coffee capsules by holding the lid with the left hand pulling it up and keeping the hand to support the lid
P01-20240204-095114-11 | pick up a coffee capsule using the right hand from the coffee capsule box by inserting the right hand into the box and picking one capsule
P01-20240204-095114-12 | close the cardboard box by releasing its cover with the left hand so it actually closes
P01-20240204-095114-13 | open the compartment of coffee capsules in the coffee machine by holding the handle of the coffee machine with the left hand and pulling it up to reveal the compartment
P01-20240204-095114-14 | place the coffee capsule inside the compartment of the coffee machine by positioning the hand on top of the compartment with the coffee capsule in hand and releasing the coffee capsule so it falls in place inside the compartment
P01-20240204-095114-15 | lock the coffee capsule inside the coffee machine by closing the compartment using the handle in the left hand by pulling it down and so the coffee capsule is locked in place
P01-20240204-095114-16 | pick up the milk bottle from the countertop holding it with the right hand from its handle
P01-20240204-095114-17 | open the milk bottle by holding the bottle with the right hand, holding the lid with the left hand and rotating the lid counterclockwise with the left hand.
P01-20240204-095114-18 | pour milk from the milk bottle into the milk frother by positioning the milk bottle on top of the milk frother and tilting the bottle so water pours into the milk frother. The bottle of milk is being held with the right hand and the milk frother is just supported by its space on the counter top. The left hand is holding the lid of the milk bottle that has just been opened
P01-20240204-095114-19 | put the milk bottle on the countertop
P01-20240204-095114-20 | close the milk bottle by positioning the lid with the left hand on top of the milk bottle and rotating it clockwise the bottle is standing on the countertop
P01-20240204-095114-21 | try to start the milk frother by pressing the button on the outside using the right hand but it doesn't start because the plug is not in the socket
P01-20240204-095114-22 | plug the milk frother in the socket by picking up the plug from the countertop positioning it on the socket rightly and pushing in place with the right hand
P01-20240204-095114-23 | switch on the socket by pressing the button next to the plug with the right hand index
P01-20240204-095114-24 | turn on the milk frother by pressing the button on the outside using the right hand holding the milk frother with the right hand and pressing with the thumb
P01-20240204-095114-25 | open the upper cupboard using the left hand holding the handle
P01-20240204-095114-26 | pick up a bowl from the second shelf of the cupboard. The bowl is piled on top of another bowl so pick the one at the top
P01-20240204-095114-27 | close the cupboard
P01-20240204-095114-28 | pick up the milk from the countertop using the left hand
P01-20240204-095114-29 | place the bowl on the countertop. The milk bottle had to be moved to place the bowl in its place
P01-20240204-095114-30 | open the milk bottle by holding the bottle with the right hand holding the lid of the bottle with the left hand and turning the lid counterclockwise to open it
P01-20240204-095114-31 | pour milk from the milk bottle into the empty bowl by tilting the bottle positioned on top of the bowl. The milk bottle is being held from its handle using the right hand, the bowl is on the countertop, the left hand is holding the lid of the bottle that has been opened
P01-20240204-095114-32 | close the milk bottle by putting the lid with the left hand and rotating it clockwise the bottle is being held with the right hand from its handle
P01-20240204-095114-33 | open the bottle again deciding to pour more milk
P01-20240204-095114-34 | pour more milk from the bottle into the bowl by tilting the bottle positioned on top of the bowl. The milk bottle is being held from its handle using the right hand, the bowl is on the countertop, the left hand is holding the lid of the bottle that has been opened.
P01-20240204-095114-35 | close the milk bottle by putting the lid with the left hand and rotating it clockwise. The bottle is being held with the right hand from its handle.
P01-20240204-095114-36 | open the fridge
P01-20240204-095114-37 | put the milk bottle on the lower shelf of the door of the fridge holding the bottle from its handle with the left hand
P01-20240204-095114-38 | close the fridge
P01-20240204-095114-39 | pick up the cereal box from the upper shelf on top of the sink using the right hand pulling it slightly and then letting it drop into the hand
P01-20240204-095114-40 | open the box of cereal this action is off screen
P01-20240204-095114-41 | press the button on the coffee machine to start brewing coffee
P01-20240204-095114-42 | Take a handful of cereal from inside the cardboard box by inserting the right hand inside the bag that is in the box and then shaking the box a little, picking up a handful of cereal from the box using the right hand. The box is being held with the left-hand.
