class_id,noun_name,category,instance_count,reasoning
16,onion,vegetables,31,An onion is a vegetable and is edible food.
25,dough,baked goods and grains,12,"Dough is a food ingredient made from flour and other components, and it is edible when cooked, falling under baked goods and grains."
27,water,drinks,31,"Water is a drink and is consumable, classified as a food ingredient and essential for hydration."
28,meat,meat and substitute,21,Meat is an edible food product derived from animals and is consumed as a primary source of protein.
30,potato,vegetables,9,A potato is a starchy vegetable and is edible food.
31,oil,spices and herbs and sauces,11,Oil is a food ingredient and edible product used in cooking.
32,cheese,dairy and eggs,25,Cheese is a dairy product and is edible food.
33,bread,baked goods and grains,44,Bread is a baked food product made from grains and is edible.
34,food,prepared food,33,"""Food"" is a general term for edible substances, and in this context, it is categorized as prepared food, making it edible and classified as food."
37,pepper,vegetables,20,Pepper is a vegetable and is edible food.
38,salt,spices and herbs and sauces,5,"Salt is a food ingredient and is edible, classified as a spice."
41,carrot,vegetables,20,A carrot is a vegetable and is edible food.
43,tomato,vegetables,28,A tomato is a fruit commonly used as a vegetable and is edible food.
45,pasta,baked goods and grains,11,Pasta is a cooked food made from grains and is edible.
47,sauce,spices and herbs and sauces,38,Sauce is a food product used in cooking and is edible.
51,garlic,vegetables,27,Garlic is a vegetable and is edible food.
53,egg,dairy and eggs,12,"An egg is a food item and is edible, commonly consumed as part of a meal."
55,rice,baked goods and grains,11,Rice is a grain and is edible food.
56,mushroom,vegetables,7,A mushroom is a type of vegetable and is edible food.
57,chicken,meat and substitute,8,Chicken is a type of meat and is edible food.
59,coffee,drinks,14,Coffee is a brewed drink made from roasted coffee beans and is consumed as a beverage.
62,leaf,vegetables,23,"A leaf, when categorized as a vegetable, is edible and considered food, such as spinach or lettuce leaves."
64,milk,dairy and eggs,8,Milk is a consumable dairy product and is edible food.
67,aubergine,vegetables,6,An aubergine is a vegetable and is edible food.
68,salad,prepared food,7,"Salad is a prepared food item made from ingredients like vegetables, dressings, and other edible components."
69,chilli,spices and herbs and sauces,19,"Chilli is a spice and edible ingredient used in cooking, classified as food."
71,mixture,prepared food,26,"A mixture, especially in the context of ""prepared food,"" typically refers to a combination of ingredients that are edible and intended for consumption."
72,cucumber,vegetables,12,A cucumber is a vegetable and is edible food.
74,peach,fruits and nuts,3,A peach is a fruit and is edible food.
75,flour,baked goods and grains,10,Flour is a food ingredient used in baking and is considered edible food.
76,courgette,vegetables,8,"Courgette is a type of squash and is an edible vegetable, classified as food."
78,butter,dairy and eggs,11,Butter is a dairy product and is edible food.
81,tofu,meat and substitute,10,Tofu is a plant-based food product made from soybeans and is edible.
83,olive,fruits and nuts,3,An olive is a fruit and is edible food.
85,spice,spices and herbs and sauces,6,Spice is a food ingredient used to flavor food and is edible.
86,sausage,meat and substitute,7,Sausage is a processed meat product and is edible food.
91,pizza,prepared food,5,"Pizza is a cooked dish made from dough, sauce, cheese, and toppings, and is edible food."
94,vegetable,vegetables,5,A vegetable is a type of edible plant food.
95,stock,spices and herbs and sauces,11,"Stock is a flavorful liquid made from simmering bones, vegetables, and herbs, and is used as a base in cooking, making it an edible food ingredient."
98,yoghurt,dairy and eggs,7,Yoghurt is a dairy product and is edible food.
99,cereal,baked goods and grains,3,Cereal is a food product made from grains and is edible.
101,broccoli,vegetables,9,Broccoli is a vegetable and is edible food.
102,sugar,spices and herbs and sauces,4,Sugar is a food ingredient and is edible.
104,biscuit,baked goods and grains,8,A biscuit is a baked good and is edible food.
105,lemon,fruits and nuts,5,A lemon is a citrus fruit and is edible food.
112,salmon,meat and substitute,7,Salmon is a type of fish and is edible food.
115,spreads,prepared food,6,"Spreads such as butter, jam, or peanut butter are edible food products typically used on bread or other foods."
116,squash,vegetables,3,Squash is a vegetable and is edible food.
117,leek,vegetables,6,A leek is a vegetable and is edible food.
119,fish,meat and substitute,7,Fish is a type of meat and is edible food.
120,lettuce,vegetables,4,Lettuce is a leafy green vegetable and is edible food.
121,curry,prepared food,6,"Curry is a prepared food dish made from spices, ingredients, and often meat or vegetables, and is edible."
122,seed,fruits and nuts,12,"A seed is a food ingredient and is edible, often consumed as part of fruits, nuts, or as a standalone food item like sunflower or chia seeds."
125,corn,vegetables,8,Corn is a vegetable and is edible food.
126,soup,prepared food,4,Soup is a prepared food item made from ingredients that are edible and consumed as a meal.
127,oatmeal,baked goods and grains,5,Oatmeal is a cooked grain food made from oats and is edible.
128,onion:spring,vegetables,6,An onion is a vegetable and is edible food.
131,ginger,spices and herbs and sauces,7,Ginger is a spice and herb that is edible and commonly used as a food ingredient.
132,tea,drinks,3,"Tea is a beverage made from steeping tea leaves in water and is consumed as a drink, making it a food product."
