P01-20240204-142301-1 | press and release the button on the panel of the oven in order to switch the oven on
P01-20240204-142301-2 | Switch the oven on by rotating the dial clockwise to start preheating.
P01-20240204-142301-3 | Press and release the second dial on the panel of the oven.
P01-20240204-142301-4 | Rotate the dial clockwise to set the temperature for preheating using the right hand.
P01-20240204-142301-5 | Pick up the strainer from the drainer, removing it from a pile of other things by pulling it from the pile with the left hand.
P01-20240204-142301-6 | Put the strainer on the counter top.
P01-20240204-142301-7 | wear the right glove by holding it with the left hand sliding the right hand in
P01-20240204-142301-8 | wear the left glove by holding it with the right hand and sliding the left hand in
P01-20240204-142301-9 | pick up the sponge
P01-20240204-142301-10 | pick up the washing up liquid
P01-20240204-142301-11 | Pour washing up liquid from the bottle onto the sponge by turning the bottle upside down, positioning it on top of the sponge, squeezing so the washing up liquid is poured on the sponge.
P01-20240204-142301-12 | put down the washing up liquid bottle
P01-20240204-142301-13 | pick up the bowl from the sink
P01-20240204-142301-14 | tilt the bowl to drop all the water that has been soaking it
P01-20240204-142301-15 | lather the bowl using the sponge.
P01-20240204-142301-16 | Put down the sponge.
P01-20240204-142301-17 | Open the tap.
P01-20240204-142301-18 | rinse the bowl
P01-20240204-142301-19 | close the tap
P01-20240204-142301-20 | open the tap
P01-20240204-142301-21 | Continue rinsing the bowl.
P01-20240204-142301-22 | close the tap.
P01-20240204-142301-23 | shake the bowl on top of the sink to drop any excess water on it
P01-20240204-142301-24 | Put the bowl on the countertop next to the sink.
P01-20240204-142301-25 | Take off the left glove.
P01-20240204-142301-26 | Take off the right glove.
P01-20240204-142301-27 | move the water filter jug
P01-20240204-142301-28 | Pick up the tupperware containing the rice that has been soaking for a few hours now, carrying it with both hands carefully as it's filled with water.
P01-20240204-142301-29 | Pour the water and the rice into the white bowl by positioning the tupperware with rice on top of the bowl and tilting it.
P01-20240204-142301-31 | fill some water into the Tupperware in order to rinse and gather the remaining rice that have not been poured out of the Tupperware.
P01-20240204-142301-30 | Open the tap.
P01-20240204-142301-32 | close the tap
P01-20240204-142301-33 | Using the right hand move the rice around the tupperware.
P01-20240204-142301-34 | moving it towards the edge of the Tupperware.
P01-20240204-142301-35 | Tilt the tupperware and using the right hand slide the remaining rice and water into the bowl.
P01-20240204-142301-36 | Put the empty tupperware in the sink.
P01-20240204-142301-37 | Wash the rice inside the bowl by using both hands, inserting the hands into the bowl with water, picking an amount of rice between the two hands, rubbing them against one another by rubbing the hands slightly, then dropping the rice again, repeating the process, picking up rice, rubbing it by rubbing the two hands, and then dropping the rice and continuing to wash the rice in the bowl.
P01-20240204-142301-38 | Dip the two hands into the water in the bowl to drop any rice that is stuck to the hands.
P01-20240204-142301-39 | Pick up the bowl containing the rice with the washing water.
P01-20240204-142301-40 | Tilt the bowl on top of the sink to drop the water in it, tilting only carefully because only the water needs to be dropped and not the rice.
P01-20240204-142301-41 | tilt the bowl up again positioning it under the nozzle of the tap
P01-20240204-142301-42 | open the tap to pour more water into the bowl
P01-20240204-142301-43 | fill the bowl again with water to wash the rice one more time
P01-20240204-142301-44 | close the tap
P01-20240204-142301-45 | put the bowl on the countertop next to the sink
P01-20240204-142301-46 | wash the rice again by inserting both hands into the bowl both hands will pick a handful of the rice rubbing it against one another and then releasing and picking up another amount of rice again and continuing to wash the rice one more time
P01-20240204-142301-47 | dip the hands into the water to release any rice that stuck to the two hands
P01-20240204-142301-48 | Pick up the bowl with rice and water.
P01-20240204-142301-49 | Tilt the bowl again slightly to drop the water into the sink, carefully ensuring the rice doesn't fall off.
P01-20240204-142301-50 | Open the tap.
P01-20240204-142301-51 | fill the bowl again with water to wash the rice a third time
P01-20240204-142301-52 | close the tap
P01-20240204-142301-53 | put the bowl on the countertop next to the sink
P01-20240204-142301-54 | Wash the rice a third time again by inserting both hands into the bowl both hands will pick a handful of the rice rubbing it against one another and then releasing and picking up another amount of rice again and continuing to wash the rice one more time.
P01-20240204-142301-55 | Dip the hands in the water to release any rice stuck to them.
P01-20240204-142301-56 | Pick up the strainer from the countertop.
P01-20240204-142301-57 | Position the strainer on top of the sink.
P01-20240204-142301-58 | tilt the bowl on top of the strainer so the water falls into the sink but the rice is caught by the strainer
P01-20240204-142301-59 | Shake the bowl to drop the remaining rice into the strainer.
P01-20240204-142301-60 | Put down the bowl on the counter top.
P01-20240204-142301-61 | open the tap
P01-20240204-142301-62 | Release the nozzle of the tap from its holder.
P01-20240204-142301-63 | Position the nozzle to fill the bowl on the countertop next to the tap with water. This will help releasing the remaining rice stuck in the bowl to actually add it to the strainer later.
P01-20240204-142301-64 | Lock the nozzle of the tap back to its holder.
P01-20240204-142301-65 | close the tap
P01-20240204-142301-66 | pick the bowl with the water and remaining rice.
P01-20240204-142301-67 | Shake the bowl a little to release any stuck rice to its bottom.
P01-20240204-142301-68 | Tilt the bowl on top of the strainer on top of the sink so the water and rice fall into the strainer.
P01-20240204-142301-69 | Shake the bowl on top of the strainer to drop any remaining rice.
P01-20240204-142301-70 | put the bowl on the countertop next to the sink
P01-20240204-142301-71 | using the hand lift the few remaining rice pieces from the bowl
P01-20240204-142301-72 | Throw these into the strainer.
P01-20240204-142301-73 | Put the strainer on top of the bowl to allow the rice to continue to drain the water from it.
P01-20240204-142301-74 | Pick up the bowl with the strainer on top of it using both hands from the countertop.
P01-20240204-142301-75 | Position the bowl with the strainer on the countertop next to the hob to prepare for cooking it.
P01-20240204-142301-76 | Open the tap.
P01-20240204-142301-77 | rinse both hands
P01-20240204-142301-78 | close the tap
P01-20240204-142301-79 | shake both hands on top of the sink to drop any excess water
P01-20240204-142301-80 | Dry both hands by holding the edge of the towel that is on the handrail of the oven and drying both hands.
P01-20240204-142301-81 | Pick up the tray from the drainer using both hands.
P01-20240204-142301-82 | turn the tray upright while holding it in the air
P01-20240204-142301-83 | Turn on the light.
P01-20240204-142301-84 | Put the tray on the counter top next to the bowl containing the marinated chicken.
P01-20240204-142301-85 | Uncover the bowl with marinated chicken by holding the end of the cling film with both hands and pulling it away from the bowl, removing it.
P01-20240204-142301-86 | pick one piece of chicken from the bowl with marinated chicken using the right hand by dipping the hand inside the marination and picking one piece of chicken
P01-20240204-142301-87 | shake the chicken on top of the bowl to drop excess liquid
P01-20240204-142301-88 | put the chicken on the tray
P01-20240204-142301-89 | pick up another piece of chicken from the bowl
P01-20240204-142301-90 | shake the chicken once
P01-20240204-142301-91 | put the chicken on the tray
P01-20240204-142301-92 | pick up another piece of chicken
P01-20240204-142301-93 | put the chicken on the tray.
P01-20240204-142301-94 | pick up another piece of chicken
P01-20240204-142301-95 | put the chicken on the tray
P01-20240204-142301-96 | Move the chicken pieces slightly to empty more space for the additional pieces.
P01-20240204-142301-97 | pick up another chicken piece.
P01-20240204-142301-98 | put the chicken on the tray
P01-20240204-142301-99 | Pick up the bowl containing the marination using both hands.
P01-20240204-142301-101 | pour marination water into the tray.
P01-20240204-142301-100 | Tilt the bowl, positioning it on top of the tray to pour some of the marination water into the tray.
P01-20240204-142301-102 | Using the hand slide the rosemary leaves and some of the marination from the bowl into the tray, including the garlic pieces.
P01-20240204-142301-103 | Carry and tilt the bowl further to drop more of the marination liquid into the tray.
P01-20240204-142301-104 | shake the hand on top of the tray to drop any liquid on the tray.
P01-20240204-142301-105 | put the bowl with a little bit of marination left in it in the sink.
P01-20240204-142301-106 | Move the nozzle of the tap a little bit to the left.
P01-20240204-142301-107 | open the tap
P01-20240204-142301-108 | Rinse the hands on top of the bowl with the chicken marination to soak the bowl also while rinsing the hands.
P01-20240204-142301-109 | close the tap
P01-20240204-142301-110 | Shake both hands on top of the sink to drop any excess liquid.
P01-20240204-142301-111 | Dry both hands using the towel on the handrail of the oven, holding its edge and drying both hands.
P01-20240204-142301-112 | Pick up the bottle of vegetable oil from the shelf on top of the sink using the right hand.
P01-20240204-142301-113 | Open the bottle by holding the bottle with the right hand, holding the lid with the left hand and flipping the lid up to open it.
P01-20240204-142301-114 | Tilt the bottle on top of the tray containing chicken and marination to pour some of the oil on the chicken.
P01-20240204-142301-115 | move the bottle around the tray while it's tilting so some of the oil is dropping all over the various chicken pieces in the tray
P01-20240204-142301-116 | close the bottle by holding the lid with the right hand and flipping it down
P01-20240204-142301-117 | Put back the bottle on the shelf on top of the sink using the right hand.
P01-20240204-142301-118 | Distribute the garlic pieces and rosemary leaves around the tray. They currently are clustered in one location, so pick them using both hands and distribute these around the tray.
P01-20240204-142301-119 | shake hands on top of the tray to drop any excess liquid
P01-20240204-142301-120 | dry hands using the towel on the handrail of the oven
P01-20240204-142301-121 | open the top drawer
P01-20240204-142301-122 | pick up a knife from the cutlery tray in the top drawer
P01-20240204-142301-123 | close the top drawer
P01-20240204-142301-124 | open the fridge
P01-20240204-142301-125 | pick up the box of chicken stock cubes from the oven door.
P01-20240204-142301-126 | Return the box of chicken stock cubes into the shelf of the door of the fridge.
P01-20240204-142301-127 | Pick up the plastic packaging containing minced meat from the second shelf of the fridge using the right hand,by sliding it out from under a box of and salad
P01-20240204-142301-128 | Close the fridge's door.
P01-20240204-142301-129 | Put the packaging containing minced meat on the countertop next to the hob.
P01-20240204-142301-130 | open the chicken stock cube by unfolding the edges of the packaging.
P01-20240204-142301-131 | Pick up the chicken stock cube from its packaging using the right hand holding the packaging with the left hand.
P01-20240204-142301-132 | throw the packaging on the countertop
P01-20240204-142301-133 | Hold the chicken stock cube with the left hand and the knife with the right hand.
P01-20240204-142301-134 | Slice bits of the chicken stock cube using the knife, holding the knife against the edge of the chicken stock cube and taking short slices with the knife moving towards the thumb, allowing the cut slices to fall into the tray to season the chicken with the marination.
P01-20240204-142301-135 | tilt the knife to drop a piece of stock cube attached to it
P01-20240204-142301-136 | continue slicing bits of the chicken stock cube using the knife allowing these to fall onto the tray with the chicken
P01-20240204-142301-137 | using the thumb slide the chicken stock cube pieces attached to the knife allowing them to fall back into the tray
P01-20240204-142301-138 | Continue slicing the chicken stock cube using the knife using the knife allowing these to fall onto the tray with the chicken.
P01-20240204-142301-139 | Using the thumb slide the stuck chicken stock cube pieces onto the knife letting them fall onto the tray.
P01-20240204-142301-140 | move one leaf of rosemary inside the tray
P01-20240204-142301-141 | Continue slicing the chicken stock cube with the knife
P01-20240204-142301-142 | using the thumb drop the stuck pieces on the knife onto the tray.
P01-20240204-142301-143 | turn the chicken stock cube and continue slicing it onto the tray
P01-20240204-142301-144 | continue slicing the chicken stock cube onto the tray
P01-20240204-142301-145 | Drop the pieces stuck on the knife onto the tray.
P01-20240204-142301-146 | continue slicing the remaining bits of the chicken stock cube using the knife
P01-20240204-142301-147 | break the remaining bits of the chicken stock cube using both hands dropping the pieces into the tray
P01-20240204-142301-148 | pick up the packaging from the countertop
P01-20240204-142301-149 | put the knife on the chopping board
P01-20240204-142301-150 | Pick the cling film from the countertop.
P01-20240204-142301-151 | crumble the cling film with the packaging of the chicken stock cube to throw them
P01-20240204-142301-152 | open the trash bin.
P01-20240204-142301-153 | Throw the cling film and packaging into the trash bin.
P01-20240204-142301-154 | Close the trash bin, this action is off screen.
P01-20240204-142301-155 | dry both hands by picking the edge of the towel from the handrail of the oven
P01-20240204-142301-156 | move the knife on the chopping board to the left slightly.
P01-20240204-142301-157 | move the chopping board on the countertop to the left slightly pushing the scale in doing so further to the left on the countertop
P01-20240204-142301-158 | open the second drawer
P01-20240204-142301-159 | pick up a chopping board from the second drawer
P01-20240204-142301-160 | Put the chopping board on the countertop, this action is off-screen.
P01-20240204-142301-161 | push the box in the second drawer slightly in to be able to close the drawer
P01-20240204-142301-162 | Pick up the mesh with onions from the shelf under the countertop.
P01-20240204-142301-163 | Pick up the garlic pulp from the same shelf using the right hand.
P01-20240204-142301-164 | Put the mesh with onions on the counter top.
P01-20240204-142301-165 | Break one garlic clove from the garlic pulp by holding the pulp with both hands and pressing to release one clove with the left hand.
P01-20240204-142301-166 | put the clove on the chopping board
P01-20240204-142301-167 | Break another garlic clove from the garlic pulp by holding the pulp with both hands and pushing with the left thumb to release one.
P01-20240204-142301-168 | put the garlic clove on the countertop next to the chopping board
P01-20240204-142301-169 | Move the first garlic clove also to the countertop next to the chopping board.
P01-20240204-142301-170 | Return the garlic bulb to the shelf under the countertop. This action is mostly offscreen.
P01-20240204-142301-171 | open the first drawer
P01-20240204-142301-172 | pick up the scissors from the cutlery tray of the first drawer
P01-20240204-142301-173 | Remove the plastic cover from the scissors by holding the cover with the left hand, holding the scissors from the handle with the right hand and then pulling the cover out.
P01-20240204-142301-174 | Cut the mesh open by holding the mesh containing onions with the left hand, holding the scissors with the right hand, and then cutting the mesh.
P01-20240204-142301-175 | Put down the scissors on the counter top.
P01-20240204-142301-176 | Remove one onion from the mesh by passing it throw the opening made by the scissor in the mesh.
P01-20240204-142301-177 | put the onion on the chopping board
P01-20240204-142301-178 | pick up the scissors from the countertop
P01-20240204-142301-179 | Cover the scissors by holding the plastic cover with the left hand, the scissors from the handle with the right hand, and sliding the edge of the scissors inside the plastic cover, locking it in place.
P01-20240204-142301-180 | put the scissors on the cutlery tray in the first drawer where this action is mostly off screen.
