P01-20240203-123350-1 | Lift the plate that's covering the bowl of yeast to check the progress of the yeast fermentation.
P01-20240203-123350-2 | Turn the plate upright and place it on the countertop next to the bowl, having confirmed the yeast fermentation has completed. The yeast has grown and there are clear air bubbles.
P01-20240203-123350-3 | Close the opened cupboard.
P01-20240203-123350-4 | Pick up the bottle of vegetable oil.
P01-20240203-123350-5 | Move another bottle on the shelf to access the olive oil bottle at the back.
P01-20240203-123350-6 | Pick up the bottle of olive oil from the shelf.
P01-20240203-123350-7 | Return the bottle of vegetable oil that's being held in the left hand back on the shelf.
P01-20240203-123350-8 | Move the bowl of flour and dry mixture slightly on the countertop.
P01-20240203-123350-11 | Move the can of yeast on the countertop.
P01-20240203-123350-9 | Put down the bottle of oil on the countertop.
P01-20240203-123350-10 | Pick up the bowl of flour from the countertop.
P01-20240203-123350-12 | Put down the bowl of flour on the countertop.
P01-20240203-123350-13 | Hold the bowl using both hands. This is an attempt to pick it up but then change your mind.
P01-20240203-123350-14 | Using the spoon, create a small gap in the flour to pour liquids.
P01-20240203-123350-15 | Pick up the olive oil bottle from the countertop.
P01-20240203-123350-16 | Open the bottle by holding it with the right hand, holding the lid with the left hand and rotating the lid counterclockwise.
P01-20240203-123350-17 | Keep holding the lid with the left hand and pour oil from the bottle into the bowl that contains flour, pouring it in the center.
P01-20240203-123350-18 | Close the bottle of oil.
P01-20240203-123350-19 | Put down the bottle of oil.
P01-20240203-123350-20 | Pick up the bowl containing water and yeast from the countertop using both hands.
P01-20240203-123350-21 | Pour the content of the bowl into the bigger bowl with flour and oil, thus adding water, yeast and sugar into the mixture. These are the wet components of the dough.
P01-20240203-123350-22 | Move the bowl upside down to ensure all the water inside it drop.
P01-20240203-123350-23 | Put down the empty bowl on the countertop.
P01-20240203-123350-24 | Using the spoon, mix the dry components, flour, and the wet components, water and oil.
P01-20240203-123350-25 | Remove the part of the mixture that is stuck on the spoon using the fingers by sliding it. Hold two fingers against the spoon. Pass them through the surface of the spoon to remove the mixture stuck on the spoon.
P01-20240203-123350-26 | Put the spoon on the empty bowl on the surface, discarding it.
P01-20240203-123350-27 | Continue mixing the mixture by hand, trying to mix all the ingredients together in a homogeneous manner.
P01-20240203-123350-28 | Pick up the water filter jug from the countertop using the left hand.
P01-20240203-123350-29 | Pour a bit of water from the jug into the bowl with mixture. The dough needs a little bit more hydration.
P01-20240203-123350-30 | Put down the water filter jug on the hob.
P01-20240203-123350-31 | Mix the mixture into a dough, moving parts of it from the sides to the center and squeezing parts with fingers.
P01-20240203-123350-32 | Pick up the water filter jug from top of the hob.
P01-20240203-123350-33 | Pour a little more water into the bowl. The dough still needs more hydration.
P01-20240203-123350-34 | Put down the water filter jug.
P01-20240203-123350-35 | Continue mixing and kneading the dough.
P01-20240203-123350-36 | Pick up the bowl with dough.
P01-20240203-123350-37 | Place the bowl with dough on another countertop, giving more space to move the bowl.
P01-20240203-123350-38 | Continue kneading and mixing the dough.
P01-20240203-123350-39 | Knead the dough while turning the bowl. Knead and then turn the bowl slightly clockwise and then knead again and turn again continuously.
P01-20240203-123350-40 | Open the bag of flour by unfolding its top.
P01-20240203-123350-41 | Using the left hand, insert the hand into the bag and take a handful of flour from the bag.
P01-20240203-123350-42 | Throw the handful of flour onto the dough mix. The dough is too wet, thus decreasing its wetness.
P01-20240203-123350-43 | Combine the added flour with the dough by kneading and mixing.
P01-20240203-123350-44 | Knead the dough while rotating the bowl clockwise.
P01-20240203-123350-45 | Clear the hand from the stuck dough using the left hand scrape one finger at a time of the right hand to to get rid of the added dough and add it to the mixture
P01-20240203-123350-46 | Continue kneading the dough, while turning the bowl clockwise.
P01-20240203-123350-47 | Scrape the stuck dough on the right hand using the left hand by scraping one finger at a time.
P01-20240203-123350-48 | Continue kneading the dough and turning the bowl clockwise.
P01-20240203-123350-49 | Scrape the stuck dough on the hand using the other hand. One finger at a time.
P01-20240203-123350-50 | Open the tap.
P01-20240203-123350-51 | wash hands off the stuck dough using the water from the tap, scrubbing both hands against one another.
P01-20240203-123350-52 | Close the tap.
P01-20240203-123350-53 | Pick up the end of the towel hanging on the handrail of the oven and dry both hands.
P01-20240203-123350-54 | Open the lower cupboard.
P01-20240203-123350-55 | Pick up a smaller bowl from the upper shelf of the cupboard. The bowl has a plastic bag inside it.
P01-20240203-123350-56 | Hold the bowl with the left hand, remove the plastic bag from inside the bowl, using the right hand.
P01-20240203-123350-57 | Return the plastic bag to the upper shelf of the cupboard.
P01-20240203-123350-58 | Close the cupboard.
P01-20240203-123350-59 | On top of the sink, turn the the bowl upside down to empty some of the pink powder that has fallen inside it.
P01-20240203-123350-60 | Turn the bowl upright and position it under the nozzle of the tap.
P01-20240203-123350-61 | Open the tap.
P01-20240203-123350-62 | Rinse the bowl.
P01-20240203-123350-63 | Close the tap.
P01-20240203-123350-64 | Open the tap.
P01-20240203-123350-65 | Rinse the bowl again.
P01-20240203-123350-66 | Close the tap.
P01-20240203-123350-67 | Pick up the end of the white towel of the handrail of the oven and dry the inside of the bowl using the towel. The bowl is held with the left hand and the end of the towel with the right hand, moving it against the inner surface of the bowl.
P01-20240203-123350-68 | Put down the bowl on the countertop. This action is off-screen.
P01-20240203-123350-69 | Pick up the bottle of oil from the countertop.
P01-20240203-123350-70 | Open the bottle of oil. The bottle is held with the right hand. Using the left hand, hold the lid and rotate it counterclockwise to open the bottle.
P01-20240203-123350-71 | Hold the cap with the left hand, pour some oil from the bottle into the smaller bowl.
P01-20240203-123350-72 | Put down the cap from the left hand onto the countertop.
P01-20240203-123350-73 | Put down the bottle from the right hand on the countertop next to the bowl.
P01-20240203-123350-74 | Using the right hand, spread the oil to the surfaces of the bowl to cover the inside surface, holding the bowl with the left hand to steady it. Oiling the bowl is to make it ready to put the dough inside it.
P01-20240203-123350-75 | Using the right hand, gather the dough so as to pick it up from the bigger bowl.
P01-20240203-123350-76 | Lift the bowl containing the dough and turn it upside down on top of the smaller bowl so as to slide the dough from it to the oiled bowl.
P01-20240203-123350-77 | Slide the dough from the big bowl onto the small oiled bowl to prepare for its fermentation, using the right hand to assist in sliding any stuck parts of the dough.
P01-20240203-123350-78 | Put down the empty large bowl on the countertop using the left hand.
P01-20240203-123350-79 | Flatten the dough on the smaller oiled bowl using the right hand, by tapping it.
P01-20240203-123350-80 | Pick up the olive oil bottle from the countertop using the left hand. Notice that the bottle is already opened so the lid is not on it.
P01-20240203-123350-81 | Pour olive oil from the bottle into the smaller bowl on top of the dough to cover it with oil.
